grammar_point,ruby,reference,dojg,donnatoki,hjg
しだい,,5. 日本語表現文型辞典,,しだい,
しだいだ,,5. 日本語表現文型辞典,,しだいだ,
しだいだ,,5. 日本語表現文型辞典,,しだいだ,
しだいで,,5. 日本語表現文型辞典,,しだいで,
しだいでは,,5. 日本語表現文型辞典,,しだいでは,
したがって,,5. 日本語表現文型辞典,,したがって,
したって,,5. 日本語表現文型辞典,,したって,
したところで,,5. 日本語表現文型辞典,,したところで,
したら,,5. 日本語表現文型辞典,,したら,
している,,5. 日本語表現文型辞典,,している,
しては,,5. 日本語表現文型辞典,,しては,
しても,,5. 日本語表現文型辞典,,しても,
しても～しても,,5. 日本語表現文型辞典,,しても～しても,
してる,,5. 日本語表現文型辞典,,してる,
しまつだ,,5. 日本語表現文型辞典,,しまつだ,
じゃいけない,,5. 日本語表現文型辞典,,じゃいけない,
じゃう,,5. 日本語表現文型辞典,,じゃう,
じゃかなわない,,5. 日本語表現文型辞典,,じゃかなわない,
じゃないか,,5. 日本語表現文型辞典,,じゃないか,
しろ〈命令〉,命=めい | 令=れい,5. 日本語表現文型辞典,,しろ〈命令〉,
しろ,,5. 日本語表現文型辞典,,しろ,
しろ,,5. 日本語表現文型辞典,,しろ,
しろ〈命令〉と（言う）,命=めい | 令=れい | 言=い,5. 日本語表現文型辞典,,しろ〈命令〉と（言う）,
しろ～しろ,,5. 日本語表現文型辞典,,しろ～しろ,
すえ（に）,,5. 日本語表現文型辞典,,すえ（に）,
すぎない,,5. 日本語表現文型辞典,,すぎない,
すぎる,,5. 日本語表現文型辞典,,すぎる,
ずくめ,,5. 日本語表現文型辞典,,ずくめ,
ずじまい,,5. 日本語表現文型辞典,,ずじまい,
ずに,,5. 日本語表現文型辞典,,ずに,
ずにはいられない,,5. 日本語表現文型辞典,,ずにはいられない,
ずにはおかない〈自発的作用〉,自=じ | 発=はつ | 的=てき | 作=さ | 用=よう,5. 日本語表現文型辞典,,ずにはおかない〈自発的作用〉,
ずにはおかない〈必ずする〉,必=かなら,5. 日本語表現文型辞典,,ずにはおかない〈必ずする〉,
ずにはすまない,,5. 日本語表現文型辞典,,ずにはすまない,
すら〈強調〉,強=きょう | 調=ちょう,5. 日本語表現文型辞典,,すら〈強調〉,
する,,5. 日本語表現文型辞典,,する,
すれば,,5. 日本語表現文型辞典,,すれば,
せいか,,5. 日本語表現文型辞典,,せいか,
せいで,,5. 日本語表現文型辞典,,せいで,
せよ,,5. 日本語表現文型辞典,,せよ,
せよ,,5. 日本語表現文型辞典,,せよ,
せよ～せよ,,5. 日本語表現文型辞典,,せよ～せよ,
そう,,5. 日本語表現文型辞典,,そう,
そういない,,5. 日本語表現文型辞典,,そういない,
そうだ〈伝聞〉,伝=でん | 聞=ぶん,5. 日本語表現文型辞典,,そうだ〈伝聞〉,
そうだ〈様子〉,様=よう | 子=す,5. 日本語表現文型辞典,,そうだ〈様子〉,
そうだ〈直前〉,直=ちょく | 前=ぜん,5. 日本語表現文型辞典,,そうだ〈直前〉,
そうだ〈予想・判断〉,予=よ | 想=そう | 判=はん | 断=だん,5. 日本語表現文型辞典,,そうだ〈予想・判断〉,
そうもない,,5. 日本語表現文型辞典,,そうもない,
そくした,,5. 日本語表現文型辞典,,そくした,
そくして,,5. 日本語表現文型辞典,,そくして,
そって,,5. 日本語表現文型辞典,,そって,
そばから,,5. 日本語表現文型辞典,,そばから,
それまでだ,,5. 日本語表現文型辞典,,それまでだ,
たい,,5. 日本語表現文型辞典,,たい,
たいして,,5. 日本語表現文型辞典,,たいして,
たいする,,5. 日本語表現文型辞典,,たいする,
たいものだ〈願望〉,願=がん | 望=ぼう,5. 日本語表現文型辞典,,たいものだ〈願望〉,
たえない,,5. 日本語表現文型辞典,,たえない,
たえる,,5. 日本語表現文型辞典,,たえる,
たがさいご,,5. 日本語表現文型辞典,,たがさいご,
だから,,5. 日本語表現文型辞典,,だから,
だけ,,5. 日本語表現文型辞典,,だけ,
だけあって,,5. 日本語表現文型辞典,,だけあって,
だけある,,5. 日本語表現文型辞典,,だけある,
だけでなく,,5. 日本語表現文型辞典,,だけでなく,
だけに〈ふさわしく〉,,5. 日本語表現文型辞典,,だけに〈ふさわしく〉,
だけに〈反予想〉,反=はん | 予=よ | 想=そう,5. 日本語表現文型辞典,,だけに〈反予想〉,
だけの,,5. 日本語表現文型辞典,,だけの,
だけのことはある,,5. 日本語表現文型辞典,,だけのことはある,
だけまし,,5. 日本語表現文型辞典,,だけまし,
たことがある〈経験〉,経=けい | 験=けん,5. 日本語表現文型辞典,,たことがある〈経験〉,
たことがある〈過去の特別なこと〉,過=か | 去=こ | 特=とく | 別=べつ,5. 日本語表現文型辞典,,たことがある〈過去の特別なこと〉,
だす,,5. 日本語表現文型辞典,,だす,
（ただ）～だけでなく,,5. 日本語表現文型辞典,,（ただ）～だけでなく,
ただ～のみ,,5. 日本語表現文型辞典,,ただ～のみ,
ただ～のみならず,,5. 日本語表現文型辞典,,ただ～のみならず,
たって,,5. 日本語表現文型辞典,,たって,
だって,,5. 日本語表現文型辞典,,だって,
たとえ～ても,,5. 日本語表現文型辞典,,たとえ～ても,
たところ,,5. 日本語表現文型辞典,,たところ,
たところだ,,5. 日本語表現文型辞典,,たところだ,
たところで,,5. 日本語表現文型辞典,,たところで,
たとたん（に）,,5. 日本語表現文型辞典,,たとたん（に）,
たなら～だろうに,,5. 日本語表現文型辞典,,たなら～だろうに,
だに,,5. 日本語表現文型辞典,,だに,
たばかりだ,,5. 日本語表現文型辞典,,たばかりだ,
たび（に）,,5. 日本語表現文型辞典,,たび（に）,
たほうがいい,,5. 日本語表現文型辞典,,たほうがいい,
ため（に）〈目的〉,目=もく | 的=てき,5. 日本語表現文型辞典,,ため（に）〈目的〉,
ため（に）〈恩恵〉,恩=おん | 恵=けい,5. 日本語表現文型辞典,,ため（に）〈恩恵〉,
ため（に）〈原因〉,原=げん | 因=いん,5. 日本語表現文型辞典,,ため（に）〈原因〉,
たら〈その後で〉,後=あと,5. 日本語表現文型辞典,,たら〈その後で〉,
たら〈条件〉,条=じょう | 件=けん,5. 日本語表現文型辞典,,たら〈条件〉,
たら,,5. 日本語表現文型辞典,,たら,
たら～（のに）,,5. 日本語表現文型辞典,,たら～（のに）,
たらいい〈勧め〉,勧=すす,5. 日本語表現文型辞典,,たらいい〈勧め〉,
たらいい〈希望〉,希=き | 望=ぼう,5. 日本語表現文型辞典,,たらいい〈希望〉,
たらいい,,5. 日本語表現文型辞典,,たらいい,
たらいいですか,,5. 日本語表現文型辞典,,たらいいですか,
だらけ,,5. 日本語表現文型辞典,,だらけ,
たらさいご,,5. 日本語表現文型辞典,,たらさいご,
たら～た,,5. 日本語表現文型辞典,,たら～た,
たら～だろう（に）,,5. 日本語表現文型辞典,,たら～だろう（に）,
たらどうですか,,5. 日本語表現文型辞典,,たらどうですか,
たり～たりする〈複数の行為〉,複=ふく | 数=すう | 行=こう | 為=い,5. 日本語表現文型辞典,,たり～たりする〈複数の行為〉,
たり～たりする〈不定〉,不=ふ | 定=てい,5. 日本語表現文型辞典,,たり～たりする〈不定〉,
たり～たりする〈反復〉,反=はん | 復=ぷく,5. 日本語表現文型辞典,,たり～たりする〈反復〉,
たりとも～ない,,5. 日本語表現文型辞典,,たりとも～ない,
たる,,5. 日本語表現文型辞典,,たる,
たる,,5. 日本語表現文型辞典,,たる,
だろう〈推量〉,推=すい | 量=りょう,5. 日本語表現文型辞典,,だろう〈推量〉,
だろう〈気持ちの強調〉,気=き | 持=も | 強=きょう | 調=ちょう,5. 日本語表現文型辞典,,だろう〈気持ちの強調〉,
だろう,,5. 日本語表現文型辞典,,だろう,
だろうとおもう,,5. 日本語表現文型辞典,,だろうとおもう,
ちがいない,,5. 日本語表現文型辞典,,ちがいない,
ちゃ,,5. 日本語表現文型辞典,,ちゃ,
ちゃいけない,,5. 日本語表現文型辞典,,ちゃいけない,
ちゃう,,5. 日本語表現文型辞典,,ちゃう,
ちゃかなわない,,5. 日本語表現文型辞典,,ちゃかなわない,
ちゅうしんにする,,5. 日本語表現文型辞典,,ちゅうしんにする,
ついて,,5. 日本語表現文型辞典,,ついて,
ついでに,,5. 日本語表現文型辞典,,ついでに,
つうじて,,5. 日本語表現文型辞典,,つうじて,
つき,,5. 日本語表現文型辞典,,つき,
っけ,,5. 日本語表現文型辞典,,っけ,
つけて,,5. 日本語表現文型辞典,,つけて,
っこない,,5. 日本語表現文型辞典,,っこない,
ったらない,,5. 日本語表現文型辞典,,ったらない,
つつ〈逆接〉,逆=ぎゃく | 接=せつ,5. 日本語表現文型辞典,,つつ〈逆接〉,
つつ〈同時進行〉,同=どう | 時=じ | 進=しん | 行=こう,5. 日本語表現文型辞典,,つつ〈同時進行〉,
つ～つ,,5. 日本語表現文型辞典,,つ～つ,
つつある,,5. 日本語表現文型辞典,,つつある,
つづける,,5. 日本語表現文型辞典,,つづける,
つつも,,5. 日本語表現文型辞典,,つつも,
って〈伝聞〉,伝=でん | 聞=ぶん,5. 日本語表現文型辞典,,って〈伝聞〉,
って〈主題〉,主=しゅ | 題=だい,5. 日本語表現文型辞典,,って〈主題〉,
って〈名前〉,名=な | 前=まえ,5. 日本語表現文型辞典,,って〈名前〉,
って,,5. 日本語表現文型辞典,,って,
っていう,,5. 日本語表現文型辞典,,っていう,
っていうことは,,5. 日本語表現文型辞典,,っていうことは,
っていうのは,,5. 日本語表現文型辞典,,っていうのは,
っていえば,,5. 日本語表現文型辞典,,っていえば,
ってことは,,5. 日本語表現文型辞典,,ってことは,
っぱなし,,5. 日本語表現文型辞典,,っぱなし,
っぽい,,5. 日本語表現文型辞典,,っぽい,
つもりだ〈意志〉,意=い | 志=し,5. 日本語表現文型辞典,,つもりだ〈意志〉,
つもりだ〈意図と実際の不一致〉,意=い | 図=と | 実=じっ | 際=さい | 不=ふ | 一=いっ | 致=ち,5. 日本語表現文型辞典,,つもりだ〈意図と実際の不一致〉,
つれて,,5. 日本語表現文型辞典,,つれて,
て,,5. 日本語表現文型辞典,,て,
て〈並列・対比〉,並=へい | 列=れつ | 対=たい | 比=ひ,5. 日本語表現文型辞典,,て〈並列・対比〉,
て〈順次・前段階〉,順=じゅん | 次=じ | 前=ぜん | 段=だん | 階=かい,5. 日本語表現文型辞典,,て〈順次・前段階〉,
て〈方法・状態〉,方=ほう | 法=ほう | 状=じょう | 態=たい,5. 日本語表現文型辞典,,て〈方法・状態〉,
て〈理由・原因〉,理=り | 由=ゆう | 原=げん | 因=いん,5. 日本語表現文型辞典,,て〈理由・原因〉,
て〈緩い連結〉,緩=ゆる | 連=れん | 結=けつ,5. 日本語表現文型辞典,,て〈緩い連結〉,
で,,5. 日本語表現文型辞典,,で,
てあげる,,5. 日本語表現文型辞典,,てあげる,
てある,,5. 日本語表現文型辞典,,てある,
であれ,,5. 日本語表現文型辞典,,であれ,
であれ～であれ,,5. 日本語表現文型辞典,,であれ～であれ,
であろうと,,5. 日本語表現文型辞典,,であろうと,
ていく,,5. 日本語表現文型辞典,,ていく,
ていただく,,5. 日本語表現文型辞典,,ていただく,
ていない,,5. 日本語表現文型辞典,,ていない,
ていらい,,5. 日本語表現文型辞典,,ていらい,
ている〈進行・継続〉,進=しん | 行=こう | 継=けい | 続=ぞく,5. 日本語表現文型辞典,,ている〈進行・継続〉,
ている〈習慣・反復・職業・身分〉,習=しゅう | 慣=かん | 反=はん | 復=ぷく | 職=しょく | 業=ぎょう | 身=み | 分=ぶん,5. 日本語表現文型辞典,,ている〈習慣・反復・職業・身分〉,
ている〈変化の結果の残存〉,変=へん | 化=か | 結=けっ | 果=か | 残=ざん | 存=そん,5. 日本語表現文型辞典,,ている〈変化の結果の残存〉,
ている〈初めからの外見、状態〉,初=はじ | 外=がい | 見=けん | 状=じょう | 態=たい,5. 日本語表現文型辞典,,ている〈初めからの外見、状態〉,
ている〈経歴・経験〉,経=けい | 歴=れき | 経=けい | 験=けん,5. 日本語表現文型辞典,,ている〈経歴・経験〉,
ているところだ,,5. 日本語表現文型辞典,,ているところだ,
ておく,,5. 日本語表現文型辞典,,ておく,
てから〈動作の順序〉,動=どう | 作=さ | 順=じゅん | 序=じょ,5. 日本語表現文型辞典,,てから〈動作の順序〉,
てから〈起点〉,起=き | 点=てん,5. 日本語表現文型辞典,,てから〈起点〉,
てからでないと,,5. 日本語表現文型辞典,,てからでないと,
てからでなければ,,5. 日本語表現文型辞典,,てからでなければ,
てからというもの（は）,,5. 日本語表現文型辞典,,てからというもの（は）,
てからは,,5. 日本語表現文型辞典,,てからは,
できる,,5. 日本語表現文型辞典,,できる,
てください,,5. 日本語表現文型辞典,,てください,
てくださいませんか,,5. 日本語表現文型辞典,,てくださいませんか,
てくださる,,5. 日本語表現文型辞典,,てくださる,
てくる〈行って戻る〉,行=い | 戻=もど,5. 日本語表現文型辞典,,てくる〈行って戻る〉,
てくる〈順次〉,順=じゅん | 次=じ,5. 日本語表現文型辞典,,てくる〈順次〉,
てくる〈変化〉,変=へん | 化=か,5. 日本語表現文型辞典,,てくる〈変化〉,
てくる〈継続〉,継=けい | 続=ぞく,5. 日本語表現文型辞典,,てくる〈継続〉,
てくる〈移動の状態〉,移=い | 動=どう | 状=じょう | 態=たい,5. 日本語表現文型辞典,,てくる〈移動の状態〉,
てくる〈方向性〉,方=ほう | 向=こう | 性=せい,5. 日本語表現文型辞典,,てくる〈方向性〉,
てくる〈話者への接近・離反〉,話=わ | 者=しゃ | 接=せっ | 近=きん | 離=り | 反=はん,5. 日本語表現文型辞典,,てくる〈話者への接近・離反〉,
てくる〈話者への接近〉,話=わ | 者=しゃ | 接=せっ | 近=きん,5. 日本語表現文型辞典,,てくる〈話者への接近〉,
てくる〈変化の出現〉,変=へん | 化=か | 出=しゅつ | 現=げん,5. 日本語表現文型辞典,,てくる〈変化の出現〉,
てくれる,,5. 日本語表現文型辞典,,てくれる,
てこそ,,5. 日本語表現文型辞典,,てこそ,
でさえ,,5. 日本語表現文型辞典,,でさえ,
てさしあげる,,5. 日本語表現文型辞典,,てさしあげる,
てしかたがない,,5. 日本語表現文型辞典,,てしかたがない,
でしかたがない,,5. 日本語表現文型辞典,,でしかたがない,
てしまう〈完了〉,完=かん | 了=りょう,5. 日本語表現文型辞典,,てしまう〈完了〉,
てしまう〈残念〉,残=ざん | 念=ねん,5. 日本語表現文型辞典,,てしまう〈残念〉,
でしょう〈同意求め　確認〉,同=どう | 意=い | 求=もと | 確=かく | 認=にん,5. 日本語表現文型辞典,,でしょう〈同意求め　確認〉,
でしょう,,5. 日本語表現文型辞典,,でしょう,
てしょうがない,,5. 日本語表現文型辞典,,てしょうがない,
ですら,,5. 日本語表現文型辞典,,ですら,
てたまらない,,5. 日本語表現文型辞典,,てたまらない,
てでも,,5. 日本語表現文型辞典,,てでも,
てない,,5. 日本語表現文型辞典,,てない,
でなくてなんだろう,,5. 日本語表現文型辞典,,でなくてなんだろう,
てならない,,5. 日本語表現文型辞典,,てならない,
ては,,5. 日本語表現文型辞典,,ては,
ではありません,,5. 日本語表現文型辞典,,ではありません,
ではあるまいし,,5. 日本語表現文型辞典,,ではあるまいし,
てはいけない,,5. 日本語表現文型辞典,,てはいけない,
ではいられない,,5. 日本語表現文型辞典,,ではいられない,
てはかなわない,,5. 日本語表現文型辞典,,てはかなわない,
ではかなわない,,5. 日本語表現文型辞典,,ではかなわない,
てはじめて,,5. 日本語表現文型辞典,,てはじめて,
ではないか〈感動〉,感=かん | 動=どう,5. 日本語表現文型辞典,,ではないか〈感動〉,
ではないか〈判断〉,判=はん | 断=だん,5. 日本語表現文型辞典,,ではないか〈判断〉,
てほしい,,5. 日本語表現文型辞典,,てほしい,
てほしいものだ,,5. 日本語表現文型辞典,,てほしいものだ,
てほしいもんだ,,5. 日本語表現文型辞典,,てほしいもんだ,
てまえ,,5. 日本語表現文型辞典,,てまえ,
てまで,,5. 日本語表現文型辞典,,てまで,
てみせる,,5. 日本語表現文型辞典,,てみせる,
てみる,,5. 日本語表現文型辞典,,てみる,
ても,,5. 日本語表現文型辞典,,ても,
でも,,5. 日本語表現文型辞典,,でも,
てもいい〈許可〉,許=きょ | 可=か,5. 日本語表現文型辞典,,てもいい〈許可〉,
てもいい〈譲歩〉,譲=じょう | 歩=ほ,5. 日本語表現文型辞典,,てもいい〈譲歩〉,
でもいい,,5. 日本語表現文型辞典,,でもいい,
てもかまわない〈許可〉,許=きょ | 可=か,5. 日本語表現文型辞典,,てもかまわない〈許可〉,
てもかまわない〈譲歩〉,譲=じょう | 歩=ほ,5. 日本語表現文型辞典,,てもかまわない〈譲歩〉,
でもかまわない,,5. 日本語表現文型辞典,,でもかまわない,
てもさしつかえない,,5. 日本語表現文型辞典,,てもさしつかえない,
でもさしつかえない,,5. 日本語表現文型辞典,,でもさしつかえない,
でもない,,5. 日本語表現文型辞典,,でもない,
てもらう,,5. 日本語表現文型辞典,,てもらう,
てやまない,,5. 日本語表現文型辞典,,てやまない,
てやる,,5. 日本語表現文型辞典,,てやる,
てる,,5. 日本語表現文型辞典,,てる,
てるところ,,5. 日本語表現文型辞典,,てるところ,
と〈条件〉,条=じょう | 件=けん,5. 日本語表現文型辞典,,と〈条件〉,
と〈継起〉,継=けい | 起=き,5. 日本語表現文型辞典,,と〈継起〉,
と〈直接話法〉,直=ちょく | 接=せつ | 話=わ | 法=ほう,5. 日本語表現文型辞典,,と〈直接話法〉,
と〈間接話法〉,間=かん | 接=せつ | 話=わ | 法=ほう,5. 日本語表現文型辞典,,と〈間接話法〉,
と～（のに）〈反実仮想〉,反=はん | 実=じつ | 仮=か | 想=そう,5. 日本語表現文型辞典,,と～（のに）〈反実仮想〉,
とあいまって,,5. 日本語表現文型辞典,,とあいまって,
とあって,,5. 日本語表現文型辞典,,とあって,
とあれば,,5. 日本語表現文型辞典,,とあれば,
といい〈希望〉,希=き | 望=ぼう,5. 日本語表現文型辞典,,といい〈希望〉,
といい〈勧め〉,勧=すす,5. 日本語表現文型辞典,,といい〈勧め〉,
といい～といい,,5. 日本語表現文型辞典,,といい～といい,
という〈名前の紹介〉,名=な | 前=まえ | 紹=しょう | 介=かい,5. 日本語表現文型辞典,,という〈名前の紹介〉,
という〈名前〉,名=な | 前=まえ,5. 日本語表現文型辞典,,という〈名前〉,
という〈内容説明〉,内=ない | 容=よう | 説=せつ | 明=めい,5. 日本語表現文型辞典,,という〈内容説明〉,
というか～というか,,5. 日本語表現文型辞典,,というか～というか,
ということだ〈伝聞〉,伝=でん | 聞=ぶん,5. 日本語表現文型辞典,,ということだ〈伝聞〉,
ということだ〈結論〉,結=けつ | 論=ろん,5. 日本語表現文型辞典,,ということだ〈結論〉,
ということは,,5. 日本語表現文型辞典,,ということは,
というと〈連想〉,連=れん | 想=そう,5. 日本語表現文型辞典,,というと〈連想〉,
というと〈確認〉,確=かく | 認=にん,5. 日本語表現文型辞典,,というと〈確認〉,
というと,,5. 日本語表現文型辞典,,というと,
というところだ,,5. 日本語表現文型辞典,,というところだ,
というのは,,5. 日本語表現文型辞典,,というのは,
というもの,,5. 日本語表現文型辞典,,というもの,
というものだ,,5. 日本語表現文型辞典,,というものだ,
というものではない,,5. 日本語表現文型辞典,,というものではない,
というものでもない,,5. 日本語表現文型辞典,,というものでもない,
というものは,,5. 日本語表現文型辞典,,というものは,
というより,,5. 日本語表現文型辞典,,というより,
といえども,,5. 日本語表現文型辞典,,といえども,
といえども～ない,,5. 日本語表現文型辞典,,といえども～ない,
といえば,,5. 日本語表現文型辞典,,といえば,
といった,,5. 日本語表現文型辞典,,といった,
といったところだ,,5. 日本語表現文型辞典,,といったところだ,
といったら,,5. 日本語表現文型辞典,,といったら,
といったらありはしない,,5. 日本語表現文型辞典,,といったらありはしない,
といったらありゃしない,,5. 日本語表現文型辞典,,といったらありゃしない,
といったらない,,5. 日本語表現文型辞典,,といったらない,
といっても,,5. 日本語表現文型辞典,,といっても,
といわず～といわず,,5. 日本語表現文型辞典,,といわず～といわず,
とおして,,5. 日本語表現文型辞典,,とおして,
とおもいきや,,5. 日本語表現文型辞典,,とおもいきや,
とおもうと,,5. 日本語表現文型辞典,,とおもうと,
とおり（に）,,5. 日本語表現文型辞典,,とおり（に）,
どおり（に）,,5. 日本語表現文型辞典,,どおり（に）,
とおりだ,,5. 日本語表現文型辞典,,とおりだ,
とか,,5. 日本語表現文型辞典,,とか,
とか～とか,,5. 日本語表現文型辞典,,とか～とか,
とき,,5. 日本語表現文型辞典,,とき,
ときたら,,5. 日本語表現文型辞典,,ときたら,
とく,,5. 日本語表現文型辞典,,とく,
ところ ＋ 助詞（で・に・へ・を）,助=じょ | 詞=し,5. 日本語表現文型辞典,,ところ ＋ 助詞（で・に・へ・を）,
どころか〈正反対〉,正=せい | 反=はん | 対=たい,5. 日本語表現文型辞典,,どころか〈正反対〉,
どころか〈程度の対比〉,程=てい | 度=ど | 対=たい | 比=ひ,5. 日本語表現文型辞典,,どころか〈程度の対比〉,
ところから,,5. 日本語表現文型辞典,,ところから,
ところだ,,5. 日本語表現文型辞典,,ところだ,
ところだった,,5. 日本語表現文型辞典,,ところだった,
どころではない,,5. 日本語表現文型辞典,,どころではない,
どころではない,,5. 日本語表現文型辞典,,どころではない,
どころではなく,,5. 日本語表現文型辞典,,どころではなく,
ところを,,5. 日本語表現文型辞典,,ところを,
ところをみると,,5. 日本語表現文型辞典,,ところをみると,
としたって,,5. 日本語表現文型辞典,,としたって,
としたって,,5. 日本語表現文型辞典,,としたって,
としたところで,,5. 日本語表現文型辞典,,としたところで,
としたら,,5. 日本語表現文型辞典,,としたら,
として,,5. 日本語表現文型辞典,,として,
として～ない,,5. 日本語表現文型辞典,,として～ない,
としても,,5. 日本語表現文型辞典,,としても,
としない,,5. 日本語表現文型辞典,,としない,
とする,,5. 日本語表現文型辞典,,とする,
とすると,,5. 日本語表現文型辞典,,とすると,
とすれば,,5. 日本語表現文型辞典,,とすれば,
と～た〈きっかけ〉,,5. 日本語表現文型辞典,,と～た〈きっかけ〉,
と～た〈発見〉,発=はっ | 見=けん,5. 日本語表現文型辞典,,と～た〈発見〉,
と～た〈偶然〉,偶=ぐう | 然=ぜん,5. 日本語表現文型辞典,,と～た〈偶然〉,
とたん（に）,,5. 日本語表現文型辞典,,とたん（に）,
どちら,,5. 日本語表現文型辞典,,どちら,
どっち,,5. 日本語表現文型辞典,,どっち,
とって,,5. 日本語表現文型辞典,,とって,
と～とどちら,,5. 日本語表現文型辞典,,と～とどちら,
とどまらず,,5. 日本語表現文型辞典,,とどまらず,
とともに〈いっしょに〉,,5. 日本語表現文型辞典,,とともに〈いっしょに〉,
とともに〈相関関係〉,相=そう | 関=かん | 関=かん | 係=けい,5. 日本語表現文型辞典,,とともに〈相関関係〉,
とともに〈同時〉,同=どう | 時=じ,5. 日本語表現文型辞典,,とともに〈同時〉,
とともに〈付加〉,付=ふ | 加=か,5. 日本語表現文型辞典,,とともに〈付加〉,
となると〈新事態の仮定・確定〉,新=しん | 事=じ | 態=たい | 仮=か | 定=てい | 確=かく | 定=てい,5. 日本語表現文型辞典,,となると〈新事態の仮定・確定〉,
となると〈話題〉,話=わ | 題=だい,5. 日本語表現文型辞典,,となると〈話題〉,
とのことだ,,5. 日本語表現文型辞典,,とのことだ,
とは〈定義〉,定=てい | 義=ぎ,5. 日本語表現文型辞典,,とは〈定義〉,
とは〈驚き〉,驚=おどろ,5. 日本語表現文型辞典,,とは〈驚き〉,
とはいうものの,,5. 日本語表現文型辞典,,とはいうものの,
とはいえ,,5. 日本語表現文型辞典,,とはいえ,
とはかぎらない,,5. 日本語表現文型辞典,,とはかぎらない,
とばかり（に）,,5. 日本語表現文型辞典,,とばかり（に）,
とみえて,,5. 日本語表現文型辞典,,とみえて,
とみえる,,5. 日本語表現文型辞典,,とみえる,
ともあろう,,5. 日本語表現文型辞典,,ともあろう,
ともかく（として）,,5. 日本語表現文型辞典,,ともかく（として）,
ともなく,,5. 日本語表現文型辞典,,ともなく,
ともなしに,,5. 日本語表現文型辞典,,ともなしに,
ともなって,,5. 日本語表現文型辞典,,ともなって,
ともなると,,5. 日本語表現文型辞典,,ともなると,
ともなれば,,5. 日本語表現文型辞典,,ともなれば,
とわず,,5. 日本語表現文型辞典,,とわず,
な〈禁止〉,禁=きん | 止=し,5. 日本語表現文型辞典,,な〈禁止〉,
な〈禁止〉と（言う）,禁=きん | 止=し | 言=い,5. 日本語表現文型辞典,,な〈禁止〉と（言う）,
ないうちに,,5. 日本語表現文型辞典,,ないうちに,
ないか,,5. 日本語表現文型辞典,,ないか,
ないかぎり,,5. 日本語表現文型辞典,,ないかぎり,
ないかのうちに,,5. 日本語表現文型辞典,,ないかのうちに,
ないことがある,,5. 日本語表現文型辞典,,ないことがある,
ないことにする,,5. 日本語表現文型辞典,,ないことにする,
ないことになる,,5. 日本語表現文型辞典,,ないことになる,
ないことには,,5. 日本語表現文型辞典,,ないことには,
ないことはない,,5. 日本語表現文型辞典,,ないことはない,
ないこともない,,5. 日本語表現文型辞典,,ないこともない,
ないつもりだ,,5. 日本語表現文型辞典,,ないつもりだ,
ないで,,5. 日本語表現文型辞典,,ないで,
ないでおく,,5. 日本語表現文型辞典,,ないでおく,
ないでください,,5. 日本語表現文型辞典,,ないでください,
ないではいられない,,5. 日本語表現文型辞典,,ないではいられない,
ないではおかない,,5. 日本語表現文型辞典,,ないではおかない,
ないではすまない,,5. 日本語表現文型辞典,,ないではすまない,
ないでもない,,5. 日本語表現文型辞典,,ないでもない,
ないと,,5. 日本語表現文型辞典,,ないと,
ないどく,,5. 日本語表現文型辞典,,ないどく,
ないほうがいい,,5. 日本語表現文型辞典,,ないほうがいい,
ないまでも,,5. 日本語表現文型辞典,,ないまでも,
ないものか,,5. 日本語表現文型辞典,,ないものか,
ないものでもない,,5. 日本語表現文型辞典,,ないものでもない,
ないもんでもない,,5. 日本語表現文型辞典,,ないもんでもない,
ないように,,5. 日本語表現文型辞典,,ないように,
ないようにする,,5. 日本語表現文型辞典,,ないようにする,
ないわけにはいかない,,5. 日本語表現文型辞典,,ないわけにはいかない,
ながら〈同時進行〉,同=どう | 時=じ | 進=しん | 行=こう,5. 日本語表現文型辞典,,ながら〈同時進行〉,
ながら〈逆接〉,逆=ぎゃく | 接=せつ,5. 日本語表現文型辞典,,ながら〈逆接〉,
ながら〈そのまま〉,,5. 日本語表現文型辞典,,ながら〈そのまま〉,
ながらに,,5. 日本語表現文型辞典,,ながらに,
ながらにして,,5. 日本語表現文型辞典,,ながらにして,
ながらの,,5. 日本語表現文型辞典,,ながらの,
ながらも,,5. 日本語表現文型辞典,,ながらも,
なきゃ,,5. 日本語表現文型辞典,,なきゃ,
なきゃいけない,,5. 日本語表現文型辞典,,なきゃいけない,
なきゃならない,,5. 日本語表現文型辞典,,なきゃならない,
なくして（は）,,5. 日本語表現文型辞典,,なくして（は）,
なくたっていい,,5. 日本語表現文型辞典,,なくたっていい,
なくたってかまわない,,5. 日本語表現文型辞典,,なくたってかまわない,
なくちゃならない,,5. 日本語表現文型辞典,,なくちゃならない,
なくっていい,,5. 日本語表現文型辞典,,なくっていい,
なくて〈並列・理由〉,並=へい | 列=れつ | 理=り | 由=ゆう,5. 日本語表現文型辞典,,なくて〈並列・理由〉,
なくて〈理由〉,理=り | 由=ゆう,5. 日本語表現文型辞典,,なくて〈理由〉,
なくてはいけない,,5. 日本語表現文型辞典,,なくてはいけない,
なくてはならない,,5. 日本語表現文型辞典,,なくてはならない,
なくてもいい〈不必要〉,不=ふ | 必=ひつ | 要=よう,5. 日本語表現文型辞典,,なくてもいい〈不必要〉,
なくてもいい〈譲歩〉,譲=じょう | 歩=ほ,5. 日本語表現文型辞典,,なくてもいい〈譲歩〉,
なくてもかまわない,,5. 日本語表現文型辞典,,なくてもかまわない,
